Matrikel;KlausurNr;Punkte
3400556;15ws_dbs1;7,3.5,6,3.5,9,0.5,2
3401010;15ws_dbs1;1,2.5,6,0,2,4,2.5
3408971;15ws_dbs1;6,3,6.5,4,5,5,2.5
3423071;15ws_dbs1;2.5,5.5,1.5,2,0,0,1.5
3453414;15ws_dbs1;6,3.5,4,4,4.5,6.5,6
3454313;15ws_dbs1;3.5,5,2,3,4.5,7,3.5
3463754;15ws_dbs1;5.5,5,6,3.5,10.5,4.5,4
3476297;15ws_dbs1;2,2.5,0,4,1.5,2.5,1.5
3479178;15ws_dbs1;1,3,0,0.5,1,3,4
3494349;15ws_dbs1;3.5,4.5,1,0,3,1,3.5
3498680;15ws_dbs1;3.5,0,1,0.5,3.5,1.5,1
3504003;15ws_dbs1;3.5,2.5,1,2,8,3,3
3508719;15ws_dbs1;4,4.5,5.5,2,5.5,5.5,4
3509870;15ws_dbs1;6,0,6.5,1.5,5,8,2
3514121;15ws_dbs1;4,3,7,5.5,3.5,2.5,2
3531107;15ws_dbs1;2.5,3.5,1,0,2.5,0,3
3535940;15ws_dbs1;5.5,4.5,6.5,2,7.5,7,6
3546861;15ws_dbs1;3,3.5,4.5,2,1,0,0
3561559;15ws_dbs1;0.5,4.5,3,1.5,8,0,2.5
3571598;15ws_dbs1;7.5,3.5,6.5,5.5,12,6.5,1.5
3577854;15ws_dbs1;5,4,5,5,9,8,2
3582878;15ws_dbs1;6,5.5,7.5,5.5,8.5,6.5,5.5
3583505;15ws_dbs1;3.5,3,5,2,0.5,1,0
3585883;15ws_dbs1;3.5,3,6.5,1,5,0.5,3.5
3586735;15ws_dbs1;3.5,4,5.5,2.5,5.5,2,1.5
3588700;15ws_dbs1;4,5.5,6,2.5,5,5,3.5
3590920;15ws_dbs1;3,5,5.5,2.5,4,1.5,4
3613475;15ws_dbs1;0.5,0,0.5,0.5,1,0,2
3632008;15ws_dbs1;3,0,1.5,1,2.5,2,0
3637553;15ws_dbs1;8,3.5,5.5,3,10.5,6,3.5
3652343;15ws_dbs1;6,3,1,1,5.5,1,3.5
3661967;15ws_dbs1;2.5,5.5,6.5,2,5,3.5,3
3662045;15ws_dbs1;4.5,4.5,6.5,4,4,4,5
3684022;15ws_dbs1;1.5,2.5,1,1,1,1,0.5
3690324;15ws_dbs1;6.5,4,0,0,1.5,3,1.5
3694017;15ws_dbs1;6,5.5,7,5,11,7.5,5
3696488;15ws_dbs1;4,3.5,3.5,4.5,5.5,2,2
3710449;15ws_dbs1;0,4,2,0,0.5,0.5,2.5
3729968;15ws_dbs1;4,5,2.5,3,2,1.5,4
3731247;15ws_dbs1;0,3.5,2.5,0,1.5,0,0
3731705;15ws_dbs1;4.5,0.5,5.5,3,4,3.5,1.5
3738734;15ws_dbs1;3.5,4,3.5,2,2.5,1.5,2.5
3747066;15ws_dbs1;5,3.5,3,3.5,8,5.5,3
3747934;15ws_dbs1;5.5,5,6.5,2.5,7.5,3.5,5
3748078;15ws_dbs1;5.5,4.5,4.5,4.5,8.5,2.5,6
3768667;15ws_dbs1;5,4,4,1.5,7,5.5,5.5
3769275;15ws_dbs1;4,4.5,0,2.5,3.5,1.5,1
3778906;15ws_dbs1;3.5,0.5,0,1,0,0,0
3788843;15ws_dbs1;4,2.5,5,3.5,7.5,4,0
3795904;15ws_dbs1;1.5,2,0,0,0.5,1,0.5
3802238;15ws_dbs1;0.5,0,2,0,2.5,1.5,1.5
3830302;15ws_dbs1;3.5,6,7.5,2,2.5,2.5,2.5
3830777;15ws_dbs1;1,3,7.5,1.5,5,4.5,4
3835187;15ws_dbs1;5,3.5,8,4.5,6,5,1.5
3865186;15ws_dbs1;3.5,4.5,5.5,2,4,0,5
3867021;15ws_dbs1;5.5,5,4,0.5,2,3.5,3
3894672;15ws_dbs1;2,3,3.5,0.5,4,1,0
3916123;15ws_dbs1;7.5,5.5,7,2,7.5,7,1.5
3920073;15ws_dbs1;4.5,4.5,5,2.5,5.5,4.5,3.5
3933193;15ws_dbs1;3.5,3.5,1,2,4.5,0,1
3933358;15ws_dbs1;6,4.5,6,4.5,11,9,6
3936117;15ws_dbs1;2,4,6,4,9.5,7.5,4.5
