Matrikel;KlausurNr;Punkte
2473641;15ss_dbs1_wh;4,3,3.5,5.5,7.5,6.5,2.5
2561653;15ss_dbs1_wh;4,4,6.5,4.5,7.5,4,3
2645991;15ss_dbs1_wh;4,2.5,4,0.5,2,1.5,2
2757371;15ss_dbs1_wh;3,0,4,1.5,3,2.5,1.5
2790269;15ss_dbs1_wh;5.5,0.5,1.5,2.5,8.5,1.5,2
2843267;15ss_dbs1_wh;3,3.5,6.5,3.5,6.5,4,0
2858618;15ss_dbs1_wh;3.5,1,6,0.5,3.5,3.5,1
3015331;15ss_dbs1_wh;3,2,5.5,2.5,5,6.5,2
3151635;15ss_dbs1_wh;3,4.5,7,2.5,10.5,1,6.5
3322726;15ss_dbs1_wh;5,2.5,2,4,4,5.5,1
3353318;15ss_dbs1_wh;6.5,3,7.5,2.5,6,4,3
3443794;15ss_dbs1_wh;5,1.5,6,1.5,2.5,8.5,2
3460607;15ss_dbs1_wh;3.5,0.5,3,5.5,5.5,1.5,3
3525505;15ss_dbs1_wh;4,2,5,2.5,4.5,3,2
3738734;15ss_dbs1_wh;3.5,1.5,0.5,4,6,0.5,2
3790383;15ss_dbs1_wh;1.5,1,2.5,0.5,1.5,1,0.5
3809552;15ss_dbs1_wh;3.5,2,5.5,1,2,5,0
