Matrikel;KlausurNr;Punkte
2399648;16ss_dbs1_wh;8,1,4.5,2,1,6,1.5
2443512;16ss_dbs1_wh;6,0,1,0.5,2,1,3
2480715;16ss_dbs1_wh;3.5,0,6,5,3.5,3.5,0.5
2554353;16ss_dbs1_wh;7,4.5,6.5,0.5,8,6.5,3.5
2839186;16ss_dbs1_wh;8,0,1.5,1,2,4.5,0
2843193;16ss_dbs1_wh;6.5,2.5,4,6,5.5,2.5,3.5
2956688;16ss_dbs1_wh;7,1.5,3,6,2.5,7,1.5
2957270;16ss_dbs1_wh;7,3,3.5,6,4,7.5,3
3120281;16ss_dbs1_wh;2.5,2.5,6.5,3.5,3.5,3,0.5
3148771;16ss_dbs1_wh;4.5,2.5,4.5,4,3,3.5,3
3228470;16ss_dbs1_wh;4.5,2,7,4.5,4,5.5,2.5
3267278;16ss_dbs1_wh;7,3,6,1,6,1.5,1
3330552;16ss_dbs1_wh;7,3,6.5,2,0,3.5,0
3349420;16ss_dbs1_wh;7,2,6,3,2.5,4.5,0
3423071;16ss_dbs1_wh;6.5,0.5,4.5,2.5,3,6.5,2.5
3476297;16ss_dbs1_wh;4,2.5,6.5,4,3.5,5,2.5
3479178;16ss_dbs1_wh;4,1,4,3.5,2,1,1.5
3494349;16ss_dbs1_wh;4.5,4,5,3.5,3,7,1
3546861;16ss_dbs1_wh;3.5,2,6.5,2.5,3.5,4,0
3583505;16ss_dbs1_wh;7,2.5,5.5,2,2.5,3.5,0
3675899;16ss_dbs1_wh;5,2.5,3.5,3,3,3.5,1
3680716;16ss_dbs1_wh;5,3,6,6,3,7.5,0
3769275;16ss_dbs1_wh;5.5,1.5,2.5,3.5,3,3,2.5
3795904;16ss_dbs1_wh;7.5,3,5,2,1.5,3,0.5
3834095;16ss_dbs1_wh;8,2.5,3.5,6,4.5,3,1.5
