Matrikel;KlausurNr;Punkte
3315708;16ws_dbs1;6.5,3.5,8,2,8,5,3
3315806;16ws_dbs1;2.5,0,6.5,2.5,4.5,1.5,2.5
3325882;16ws_dbs1;0,0,5,0.5,2,1,3.5
3348443;16ws_dbs1;2.5,3,7,0,2.5,2,0
3352244;16ws_dbs1;3.5,2,6.5,0,1.5,5,1.5
3363309;16ws_dbs1;6.5,4,6,3.5,5.5,5,3.5
3383317;16ws_dbs1;3.5,1.5,7,3.5,7.5,8,3
3385247;16ws_dbs1;5,3,4.5,3,4,6.5,6
3386891;16ws_dbs1;1,1.5,6,2,4,3,2.5
3419107;16ws_dbs1;2,0.5,3.5,1.5,1.5,1,2
3423919;16ws_dbs1;3.5,2.5,7,3,9.5,5.5,4
3424178;16ws_dbs1;2,3,6,0,0,4.5,0
3437045;16ws_dbs1;2.5,2,1,0.5,0,0,0
3450112;16ws_dbs1;4,1.5,4,0.5,2.5,0,5.5
3458531;16ws_dbs1;4.5,1.5,4.5,1.5,1,1,0
3478046;16ws_dbs1;4.5,1,2.5,2.5,1.5,0,0
3479178;16ws_dbs1;7.5,2,5.5,3,8,4,4
3488794;16ws_dbs1;4,4.5,6.5,3.5,4,1.5,2
3492190;16ws_dbs1;7.5,1.5,4.5,2.5,6,1,0
3494474;16ws_dbs1;0,0.5,6,2.5,3.5,6,2
3498680;16ws_dbs1;4,2,3.5,1.5,4,1,2
3507233;16ws_dbs1;1.5,1.5,6,2,9,5.5,3.5
3531107;16ws_dbs1;1,2.5,8,2.5,1,0.5,1.5
3531365;16ws_dbs1;4,3,4.5,3.5,4,0,0.5
3533392;16ws_dbs1;1,0.5,0.5,0,1,0,1
3549467;16ws_dbs1;6.5,3.5,5.5,3.5,8,4.5,5
3563269;16ws_dbs1;1.5,1.5,3,1,4.5,3,2
3575689;16ws_dbs1;4.5,3,7,3,2,3.5,0
3592683;16ws_dbs1;7,3,6,2.5,1.5,5.5,2
3597191;16ws_dbs1;4,3.5,6,1.5,7,3,1
3603729;16ws_dbs1;0,2,7.5,0,7.5,3.5,2.5
3604547;16ws_dbs1;5,1.5,5.5,2,7.5,5.5,4
3613475;16ws_dbs1;6,2,5,1.5,4,3.5,0
3616866;16ws_dbs1;0.5,1,3.5,3,2.5,0,3
3622686;16ws_dbs1;4,3.5,6,1,1,3.5,4.5
3624712;16ws_dbs1;4.5,5,6,3,8,4,6.5
3632008;16ws_dbs1;5,3,6,3,4,2,5.5
3639284;16ws_dbs1;1.5,4.5,6,0,1,2,3.5
3641537;16ws_dbs1;4,0.5,8,0,3,3,1.5
3654202;16ws_dbs1;1.5,1.5,6,5,10,5.5,3.5
3658386;16ws_dbs1;1,0,0,0,0,1,0
3684022;16ws_dbs1;6,2.5,6,2,4.5,1.5,2
3689810;16ws_dbs1;6.5,3,7,2.5,8,8.5,2.5
3690005;16ws_dbs1;0.5,0,0,0,0,0,0
3694297;16ws_dbs1;6.5,1.5,7.5,1.5,6,1,2.5
3698150;16ws_dbs1;4.5,1.5,4.5,3,7.5,5,2
3700949;16ws_dbs1;0,3,8,2,6,0.5,3
3705308;16ws_dbs1;7,2,8,3,9.5,3,3.5
3710449;16ws_dbs1;4,4,8,2,3,1,2
3713417;16ws_dbs1;2,2,3.5,1,2,0,1.5
3724448;16ws_dbs1;4,1,4,0.5,3,0,1.5
3739211;16ws_dbs1;3.5,2.5,6,1.5,5,4,2
3747484;16ws_dbs1;1,1.5,6.5,0.5,2,0,5
3767291;16ws_dbs1;5,4,6.5,4.5,11,9.5,3.5
3769576;16ws_dbs1;3.5,0,4.5,3.5,5,0,1
3776082;16ws_dbs1;0,0.5,0,0,0,0,1
3783372;16ws_dbs1;3.5,5,6,1.5,5.5,6.5,2.5
3787501;16ws_dbs1;7,2.5,6.5,1.5,7.5,4,4.5
3789692;16ws_dbs1;5.5,3,6.5,3,7.5,4,3.5
3793264;16ws_dbs1;2,2,6,3.5,4.5,4,6
3797131;16ws_dbs1;4,2.5,5,2.5,6.5,1,1.5
3802238;16ws_dbs1;2.5,2.5,7,0.5,4,2,5.5
3803153;16ws_dbs1;5.5,3.5,6,3,4,3.5,3.5
3810464;16ws_dbs1;1.5,1.5,6.5,0.5,3,3,3
3814934;16ws_dbs1;6,2.5,5,3,9,7,4.5
3818536;16ws_dbs1;6.5,2,8,3.5,7,8,6
3821685;16ws_dbs1;0.5,3.5,7.5,3,4.5,3.5,2
3828938;16ws_dbs1;3,3.5,7,2,7,3.5,2.5
3839605;16ws_dbs1;5,2.5,6,3.5,3.5,2.5,4
3841187;16ws_dbs1;3.5,3,0,1,4,0.5,3.5
3871954;16ws_dbs1;6.5,2.5,5.5,3.5,7,6,3
3894672;16ws_dbs1;4.5,1,6,1,6.5,3,4.5
3908938;16ws_dbs1;2,2.5,1.5,2.5,5,1,3
3915008;16ws_dbs1;0,1,5,3,2,4,3
3933193;16ws_dbs1;3.5,0.5,2,2,6.5,2,2.5
